,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1924,1926-JAN-122.10,1926-FEB-0.00,1926-MAR-0.00,1926-APR-0.50,1926-MAY-198.40,1926-JUN-370.00,1926-JUL-195.30,1926-AUG-523.70,1926-SEP-719.30,1926-OCT-443.80,1926-NOV-148.40,1926-DEC-560.70
1925,1927-JAN-3.00,1927-FEB-17.50,1927-MAR-17.80,1927-APR-108.60,1927-MAY-504.10,1927-JUN-433.30,1927-JUL-195.20,1927-AUG-370.10,1927-SEP-126.20,1927-OCT-327.50,1927-NOV-274.10,1927-DEC-65.50
1926,1928-JAN-50.90,1928-FEB-67.60,1928-MAR-80.70,1928-APR-129.30,1928-MAY-499.50,1928-JUN-410.20,1928-JUL-406.30,1928-AUG-391.50,1928-SEP-404.80,1928-OCT-444.50,1928-NOV-99.50,1928-DEC-13.50
1927,1929-JAN-74.20,1929-FEB-118.40,1929-MAR-129.20,1929-APR-69.80,1929-MAY-316.60,1929-JUN-588.80,1929-JUL-134.00,1929-AUG-644.70,1929-SEP-172.90,1929-OCT-413.00,1929-NOV-251.50,1929-DEC-13.50
1928,1930-JAN-87.40,1930-FEB-105.40,1930-MAR-131.20,1930-APR-10.90,1930-MAY-231.50,1930-JUN-533.60,1930-JUL-317.90,1930-AUG-446.70,1930-SEP-677.20,1930-OCT-82.30,1930-NOV-249.40,1930-DEC-201.60
1929,1931-JAN-25.30,1931-FEB-0.00,1931-MAR-2.50,1931-APR-2.50,1931-MAY-205.40,1931-JUN-393.50,1931-JUL-289.30,1931-AUG-571.00,1931-SEP-294.40,1931-OCT-368.30,1931-NOV-22.80,1931-DEC-182.70
1930,1932-JAN-2.80,1932-FEB-2.50,1932-MAR-10.10,1932-APR-58.20,1932-MAY-479.70,1932-JUN-nan,1932-JUL-nan,1932-AUG-nan,1932-SEP-nan,1932-OCT-nan,1932-NOV-nan,1932-DEC-nan
1931,1933-JAN-4.50,1933-FEB-11.70,1933-MAR-8.10,1933-APR-58.40,1933-MAY-365.40,1933-JUN-544.20,1933-JUL-376.60,1933-AUG-294.10,1933-SEP-759.00,1933-OCT-239.80,1933-NOV-268.80,1933-DEC-56.90
1932,1934-JAN-7.30,1934-FEB-172.90,1934-MAR-6.90,1934-APR-131.40,1934-MAY-62.00,1934-JUN-708.40,1934-JUL-323.50,1934-AUG-924.90,1934-SEP-761.10,1934-OCT-338.10,1934-NOV-240.20,1934-DEC-46.10
1933,1935-JAN-6.60,1935-FEB-0.00,1935-MAR-0.50,1935-APR-133.60,1935-MAY-726.80,1935-JUN-374.10,1935-JUL-368.70,1935-AUG-411.60,1935-SEP-578.90,1935-OCT-182.40,1935-NOV-275.40,1935-DEC-95.40
1934,1936-JAN-16.50,1936-FEB-15.30,1936-MAR-116.50,1936-APR-nan,1936-MAY-194.30,1936-JUN-498.30,1936-JUL-664.80,1936-AUG-562.90,1936-SEP-383.80,1936-OCT-174.90,1936-NOV-199.20,1936-DEC-212.20
1935,1937-JAN-21.60,1937-FEB-10.70,1937-MAR-0.00,1937-APR-112.00,1937-MAY-330.50,1937-JUN-732.80,1937-JUL-449.50,1937-AUG-332.00,1937-SEP-349.50,1937-OCT-383.30,1937-NOV-251.70,1937-DEC-617.50
1936,1938-JAN-13.40,1938-FEB-57.20,1938-MAR-50.50,1938-APR-101.60,1938-MAY-368.90,1938-JUN-668.60,1938-JUL-318.20,1938-AUG-397.10,1938-SEP-546.70,1938-OCT-318.40,1938-NOV-316.30,1938-DEC-107.50
1937,1939-JAN-54.10,1939-FEB-1.50,1939-MAR-16.10,1939-APR-77.30,1939-MAY-480.50,1939-JUN-541.00,1939-JUL-335.60,1939-AUG-202.80,1939-SEP-512.50,1939-OCT-263.90,1939-NOV-165.90,1939-DEC-131.30
1938,1940-JAN-0.50,1940-FEB-2.80,1940-MAR-59.40,1940-APR-0.00,1940-MAY-320.70,1940-JUN-335.40,1940-JUL-268.10,1940-AUG-889.20,1940-SEP-477.50,1940-OCT-114.10,1940-NOV-221.00,1940-DEC-318.80
1939,1941-JAN-0.00,1941-FEB-12.80,1941-MAR-0.00,1941-APR-77.80,1941-MAY-251.90,1941-JUN-497.00,1941-JUL-302.50,1941-AUG-311.90,1941-SEP-516.00,1941-OCT-382.80,1941-NOV-266.00,1941-DEC-279.50
1940,1942-JAN-39.20,1942-FEB-7.40,1942-MAR-nan,1942-APR-nan,1942-MAY-nan,1942-JUN-nan,1942-JUL-nan,1942-AUG-nan,1942-SEP-nan,1942-OCT-nan,1942-NOV-nan,1942-DEC-nan
1941,1943-JAN-nan,1943-FEB-nan,1943-MAR-nan,1943-APR-nan,1943-MAY-nan,1943-JUN-nan,1943-JUL-nan,1943-AUG-nan,1943-SEP-nan,1943-OCT-nan,1943-NOV-nan,1943-DEC-nan
1942,1944-JAN-nan,1944-FEB-nan,1944-MAR-nan,1944-APR-nan,1944-MAY-nan,1944-JUN-nan,1944-JUL-nan,1944-AUG-nan,1944-SEP-nan,1944-OCT-nan,1944-NOV-nan,1944-DEC-nan
1943,1945-JAN-nan,1945-FEB-nan,1945-MAR-nan,1945-APR-nan,1945-MAY-nan,1945-JUN-nan,1945-JUL-nan,1945-AUG-nan,1945-SEP-nan,1945-OCT-nan,1945-NOV-nan,1945-DEC-nan
1944,1946-JAN-84.40,1946-FEB-3.60,1946-MAR-21.10,1946-APR-135.20,1946-MAY-309.10,1946-JUN-535.90,1946-JUL-189.00,1946-AUG-367.40,1946-SEP-478.30,1946-OCT-276.90,1946-NOV-146.90,1946-DEC-243.80
1945,1947-JAN-25.10,1947-FEB-111.10,1947-MAR-63.20,1947-APR-127.70,1947-MAY-206.30,1947-JUN-965.60,1947-JUL-490.00,1947-AUG-293.70,1947-SEP-nan,1947-OCT-376.00,1947-NOV-67.50,1947-DEC-168.60
1946,1948-JAN-nan,1948-FEB-nan,1948-MAR-nan,1948-APR-nan,1948-MAY-nan,1948-JUN-nan,1948-JUL-nan,1948-AUG-nan,1948-SEP-nan,1948-OCT-nan,1948-NOV-nan,1948-DEC-nan
1947,1949-JAN-0.00,1949-FEB-56.40,1949-MAR-0.00,1949-APR-166.50,1949-MAY-405.80,1949-JUN-658.40,1949-JUL-743.30,1949-AUG-404.00,1949-SEP-627.50,1949-OCT-339.60,1949-NOV-81.10,1949-DEC-7.00
1948,1950-JAN-0.80,1950-FEB-0.00,1950-MAR-0.00,1950-APR-95.50,1950-MAY-264.20,1950-JUN-369.90,1950-JUL-366.70,1950-AUG-347.30,1950-SEP-494.50,1950-OCT-224.60,1950-NOV-89.30,1950-DEC-169.40
1949,1951-JAN-82.70,1951-FEB-7.20,1951-MAR-0.00,1951-APR-45.40,1951-MAY-259.00,1951-JUN-619.90,1951-JUL-665.30,1951-AUG-101.30,1951-SEP-360.90,1951-OCT-489.00,1951-NOV-209.60,1951-DEC-434.80
1950,1952-JAN-0.00,1952-FEB-0.80,1952-MAR-69.70,1952-APR-39.40,1952-MAY-452.90,1952-JUN-657.70,1952-JUL-385.50,1952-AUG-541.30,1952-SEP-240.30,1952-OCT-315.60,1952-NOV-287.50,1952-DEC-89.20
