,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2004,2006-JAN-16.30,2006-FEB-14.40,2006-MAR-48.90,2006-APR-163.70,2006-MAY-321.40,2006-JUN-366.00,2006-JUL-182.70,2006-AUG-219.60,2006-SEP-546.50,2006-OCT-374.70,2006-NOV-76.10,2006-DEC-74.40
2005,2007-JAN-4.90,2007-FEB-1.60,2007-MAR-5.00,2007-APR-54.60,2007-MAY-370.00,2007-JUN-378.30,2007-JUL-463.20,2007-AUG-465.30,2007-SEP-486.40,2007-OCT-209.40,2007-NOV-223.90,2007-DEC-85.60
2006,2008-JAN-9.90,2008-FEB-67.70,2008-MAR-115.80,2008-APR-216.10,2008-MAY-545.50,2008-JUN-457.80,2008-JUL-511.20,2008-AUG-482.10,2008-SEP-332.00,2008-OCT-243.70,2008-NOV-321.10,2008-DEC-72.00
2007,2009-JAN-24.50,2009-FEB-6.30,2009-MAR-44.20,2009-APR-136.50,2009-MAY-313.10,2009-JUN-633.50,2009-JUL-297.30,2009-AUG-351.50,2009-SEP-344.70,2009-OCT-272.80,2009-NOV-66.20,2009-DEC-48.00
2008,2010-JAN-101.70,2010-FEB-8.00,2010-MAR-0.70,2010-APR-12.50,2010-MAY-319.00,2010-JUN-448.90,2010-JUL-521.90,2010-AUG-563.80,2010-SEP-263.30,2010-OCT-402.40,2010-NOV-268.50,2010-DEC-246.40
2009,2011-JAN-265.90,2011-FEB-84.80,2011-MAR-272.80,2011-APR-111.40,2011-MAY-326.50,2011-JUN-383.20,2011-JUL-583.20,2011-AUG-441.50,2011-SEP-757.10,2011-OCT-212.30,2011-NOV-150.80,2011-DEC-238.50
2010,2012-JAN-119.90,2012-FEB-45.60,2012-MAR-30.90,2012-APR-55.80,2012-MAY-533.90,2012-JUN-458.20,2012-JUL-317.30,2012-AUG-369.60,2012-SEP-868.90,2012-OCT-209.70,2012-NOV-300.50,2012-DEC-187.30
2011,2013-JAN-67.10,2013-FEB-37.60,2013-MAR-43.00,2013-APR-46.30,2013-MAY-509.30,2013-JUN-777.00,2013-JUL-564.80,2013-AUG-336.70,2013-SEP-473.60,2013-OCT-455.80,2013-NOV-354.20,2013-DEC-92.30
2012,2014-JAN-41.90,2014-FEB-8.60,2014-MAR-0.00,2014-APR-11.10,2014-MAY-238.00,2014-JUN-416.60,2014-JUL-467.60,2014-AUG-321.60,2014-SEP-412.90,2014-OCT-402.60,2014-NOV-201.20,2014-DEC-100.40
2013,2015-JAN-126.80,2015-FEB-7.60,2015-MAR-3.10,2015-APR-138.20,2015-MAY-331.90,2015-JUN-346.40,2015-JUL-328.90,2015-AUG-480.00,2015-SEP-523.30,2015-OCT-252.10,2015-NOV-236.30,2015-DEC-129.90
